article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
108000009,1080000,Black Sweater,252,Sweater,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Sweater S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sweater,Black sweater.
108000017,1080000,Black Sweater,252,Sweater,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Sweater S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sweater,Black sweater.
108000019,1080000,Black Trousers,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Trousers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Trousers,Black trousers.
108000026,1080000,Black Trousers,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Trousers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Trousers,Black trousers.
108000029,1080000,Black Dress,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Dress S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Dress,Black dress.
108000036,1080000,Black Dress,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Dress S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Dress,Black dress.
108000045,1080000,Black Bag,60,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,1676,Bag S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Bag,Black bag.
108000047,1080000,Black Bag,60,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,1676,Bag S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Bag,Black bag.
108000053,1080000,Black Sneakers,87,Sneakers,Shoes,1010016,Solid,9,Black,4,Dark,5,Black,1676,Sneakers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sneakers,Black sneakers.
108000060,1080000,Black Sneakers,87,Sneakers,Shoes,1010016,Solid,9,Black,4,Dark,5,Black,1676,Sneakers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sneakers,Black sneakers.
108000067,1080000,Black Pyjama set,73,Pyjama set,Nightwear,1010016,Solid,9,Black,4,Dark,5,Black,1676,Pyjama set S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Pyjama set,Black pyjama set.
108000070,1080000,Black Pyjama set,73,Pyjama set,Nightwear,1010016,Solid,9,Black,4,Dark,5,Black,1676,Pyjama set S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Pyjama set,Black pyjama set.
108000079,1080000,White Sweater,252,Sweater,Garment Upper body,1010016,Solid,9,White,4,Dark,5,White,1676,Sweater S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sweater,White sweater.
108000080,1080000,White Sweater,252,Sweater,Garment Upper body,1010016,Solid,9,White,4,Dark,5,White,1676,Sweater S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sweater,White sweater.
108000087,1080000,White Trousers,272,Trousers,Garment Lower body,1010016,Solid,9,White,4,Dark,5,White,1676,Trousers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Trousers,White trousers.
108000092,1080000,White Trousers,272,Trousers,Garment Lower body,1010016,Solid,9,White,4,Dark,5,White,1676,Trousers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Trousers,White trousers.
108000095,1080000,White Dress,265,Dress,Garment Full body,1010016,Solid,9,White,4,Dark,5,White,1676,Dress S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Dress,White dress.
108000101,1080001,White Dress,265,Dress,Garment Full body,1010016,Solid,9,White,4,Dark,5,White,1676,Dress S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Dress,White dress.
108000107,1080001,White Bag,60,Bag,Accessories,1010016,Solid,9,White,4,Dark,5,White,1676,Bag S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Bag,White bag.
108000109,1080001,White Bag,60,Bag,Accessories,1010016,Solid,9,White,4,Dark,5,White,1676,Bag S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Bag,White bag.
108000113,1080001,White Sneakers,87,Sneakers,Shoes,1010016,Solid,9,White,4,Dark,5,White,1676,Sneakers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sneakers,White sneakers.
108000115,1080001,White Sneakers,87,Sneakers,Shoes,1010016,Solid,9,White,4,Dark,5,White,1676,Sneakers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sneakers,White sneakers.
108000121,1080001,White Pyjama set,73,Pyjama set,Nightwear,1010016,Solid,9,White,4,Dark,5,White,1676,Pyjama set S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Pyjama set,White pyjama set.
108000123,1080001,White Pyjama set,73,Pyjama set,Nightwear,1010016,Solid,9,White,4,Dark,5,White,1676,Pyjama set S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Pyjama set,White pyjama set.
108000131,1080001,Grey Sweater,252,Sweater,Garment Upper body,1010016,Solid,9,Grey,4,Dark,5,Grey,1676,Sweater S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sweater,Grey sweater.
108000140,1080001,Grey Sweater,252,Sweater,Garment Upper body,1010016,Solid,9,Grey,4,Dark,5,Grey,1676,Sweater S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sweater,Grey sweater.
108000141,1080001,Grey Trousers,272,Trousers,Garment Lower body,1010016,Solid,9,Grey,4,Dark,5,Grey,1676,Trousers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Trousers,Grey trousers.
108000147,1080001,Grey Trousers,272,Trousers,Garment Lower body,1010016,Solid,9,Grey,4,Dark,5,Grey,1676,Trousers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Trousers,Grey trousers.
108000148,1080001,Grey Dress,265,Dress,Garment Full body,1010016,Solid,9,Grey,4,Dark,5,Grey,1676,Dress S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Dress,Grey dress.
108000156,1080001,Grey Dress,265,Dress,Garment Full body,1010016,Solid,9,Grey,4,Dark,5,Grey,1676,Dress S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Dress,Grey dress.
108000162,1080001,Grey Bag,60,Bag,Accessories,1010016,Solid,9,Grey,4,Dark,5,Grey,1676,Bag S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Bag,Grey bag.
108000164,1080001,Grey Bag,60,Bag,Accessories,1010016,Solid,9,Grey,4,Dark,5,Grey,1676,Bag S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Bag,Grey bag.
108000165,1080001,Grey Sneakers,87,Sneakers,Shoes,1010016,Solid,9,Grey,4,Dark,5,Grey,1676,Sneakers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sneakers,Grey sneakers.
108000170,1080001,Grey Sneakers,87,Sneakers,Shoes,1010016,Solid,9,Grey,4,Dark,5,Grey,1676,Sneakers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sneakers,Grey sneakers.
108000171,1080001,Grey Pyjama set,73,Pyjama set,Nightwear,1010016,Solid,9,Grey,4,Dark,5,Grey,1676,Pyjama set S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Pyjama set,Grey pyjama set.
108000177,1080001,Grey Pyjama set,73,Pyjama set,Nightwear,1010016,Solid,9,Grey,4,Dark,5,Grey,1676,Pyjama set S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Pyjama set,Grey pyjama set.
108000186,1080001,Beige Sweater,252,Sweater,Garment Upper body,1010016,Solid,9,Beige,4,Dark,5,Beige,1676,Sweater S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sweater,Beige sweater.
108000190,1080001,Beige Sweater,252,Sweater,Garment Upper body,1010016,Solid,9,Beige,4,Dark,5,Beige,1676,Sweater S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sweater,Beige sweater.
108000192,1080001,Beige Trousers,272,Trousers,Garment Lower body,1010016,Solid,9,Beige,4,Dark,5,Beige,1676,Trousers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Trousers,Beige trousers.
108000198,1080001,Beige Trousers,272,Trousers,Garment Lower body,1010016,Solid,9,Beige,4,Dark,5,Beige,1676,Trousers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Trousers,Beige trousers.
108000202,1080002,Beige Dress,265,Dress,Garment Full body,1010016,Solid,9,Beige,4,Dark,5,Beige,1676,Dress S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Dress,Beige dress.
108000208,1080002,Beige Dress,265,Dress,Garment Full body,1010016,Solid,9,Beige,4,Dark,5,Beige,1676,Dress S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Dress,Beige dress.
108000212,1080002,Beige Bag,60,Bag,Accessories,1010016,Solid,9,Beige,4,Dark,5,Beige,1676,Bag S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Bag,Beige bag.
108000213,1080002,Beige Bag,60,Bag,Accessories,1010016,Solid,9,Beige,4,Dark,5,Beige,1676,Bag S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Bag,Beige bag.
108000220,1080002,Beige Sneakers,87,Sneakers,Shoes,1010016,Solid,9,Beige,4,Dark,5,Beige,1676,Sneakers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sneakers,Beige sneakers.
108000224,1080002,Beige Sneakers,87,Sneakers,Shoes,1010016,Solid,9,Beige,4,Dark,5,Beige,1676,Sneakers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sneakers,Beige sneakers.
108000227,1080002,Beige Pyjama set,73,Pyjama set,Nightwear,1010016,Solid,9,Beige,4,Dark,5,Beige,1676,Pyjama set S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Pyjama set,Beige pyjama set.
108000234,1080002,Beige Pyjama set,73,Pyjama set,Nightwear,1010016,Solid,9,Beige,4,Dark,5,Beige,1676,Pyjama set S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Pyjama set,Beige pyjama set.
108000237,1080002,Blue Sweater,252,Sweater,Garment Upper body,1010016,Solid,9,Blue,4,Dark,5,Blue,1676,Sweater S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sweater,Blue sweater.
108000239,1080002,Blue Sweater,252,Sweater,Garment Upper body,1010016,Solid,9,Blue,4,Dark,5,Blue,1676,Sweater S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sweater,Blue sweater.
108000242,1080002,Blue Trousers,272,Trousers,Garment Lower body,1010016,Solid,9,Blue,4,Dark,5,Blue,1676,Trousers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Trousers,Blue trousers.
108000244,1080002,Blue Trousers,272,Trousers,Garment Lower body,1010016,Solid,9,Blue,4,Dark,5,Blue,1676,Trousers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Trousers,Blue trousers.
108000248,1080002,Blue Dress,265,Dress,Garment Full body,1010016,Solid,9,Blue,4,Dark,5,Blue,1676,Dress S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Dress,Blue dress.
108000255,1080002,Blue Dress,265,Dress,Garment Full body,1010016,Solid,9,Blue,4,Dark,5,Blue,1676,Dress S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Dress,Blue dress.
108000258,1080002,Blue Bag,60,Bag,Accessories,1010016,Solid,9,Blue,4,Dark,5,Blue,1676,Bag S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Bag,Blue bag.
108000261,1080002,Blue Bag,60,Bag,Accessories,1010016,Solid,9,Blue,4,Dark,5,Blue,1676,Bag S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Bag,Blue bag.
108000263,1080002,Blue Sneakers,87,Sneakers,Shoes,1010016,Solid,9,Blue,4,Dark,5,Blue,1676,Sneakers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sneakers,Blue sneakers.
108000271,1080002,Blue Sneakers,87,Sneakers,Shoes,1010016,Solid,9,Blue,4,Dark,5,Blue,1676,Sneakers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sneakers,Blue sneakers.
108000280,1080002,Blue Pyjama set,73,Pyjama set,Nightwear,1010016,Solid,9,Blue,4,Dark,5,Blue,1676,Pyjama set S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Pyjama set,Blue pyjama set.
108000282,1080002,Blue Pyjama set,73,Pyjama set,Nightwear,1010016,Solid,9,Blue,4,Dark,5,Blue,1676,Pyjama set S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Pyjama set,Blue pyjama set.
108000290,1080002,Brown Sweater,252,Sweater,Garment Upper body,1010016,Solid,9,Brown,4,Dark,5,Brown,1676,Sweater S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sweater,Brown sweater.
108000294,1080002,Brown Sweater,252,Sweater,Garment Upper body,1010016,Solid,9,Brown,4,Dark,5,Brown,1676,Sweater S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sweater,Brown sweater.
108000297,1080002,Brown Trousers,272,Trousers,Garment Lower body,1010016,Solid,9,Brown,4,Dark,5,Brown,1676,Trousers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Trousers,Brown trousers.
108000299,1080002,Brown Trousers,272,Trousers,Garment Lower body,1010016,Solid,9,Brown,4,Dark,5,Brown,1676,Trousers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Trousers,Brown trousers.
108000308,1080003,Brown Dress,265,Dress,Garment Full body,1010016,Solid,9,Brown,4,Dark,5,Brown,1676,Dress S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Dress,Brown dress.
108000315,1080003,Brown Dress,265,Dress,Garment Full body,1010016,Solid,9,Brown,4,Dark,5,Brown,1676,Dress S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Dress,Brown dress.
108000322,1080003,Brown Bag,60,Bag,Accessories,1010016,Solid,9,Brown,4,Dark,5,Brown,1676,Bag S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Bag,Brown bag.
108000331,1080003,Brown Bag,60,Bag,Accessories,1010016,Solid,9,Brown,4,Dark,5,Brown,1676,Bag S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Bag,Brown bag.
108000339,1080003,Brown Sneakers,87,Sneakers,Shoes,1010016,Solid,9,Brown,4,Dark,5,Brown,1676,Sneakers S,A,Ladieswear,Ladieswear,16,Womens Everyday,1002,Sneakers,Brown sneakers.
