t_dat,customer_id,article_id,price,sales_channel_id
2018-10-04,c0002255,108000290,0.027712,1
2020-10-18,c0000943,108002505,0.055711,1
2019-11-20,c0001879,108001075,0.025283,1
2020-05-21,c0002435,108001663,0.035958,2
2018-12-13,c0002917,108000123,0.021306,1
2019-01-25,c0002909,108000060,0.041662,1
2020-05-25,c0001658,108001881,0.022994,1
2020-06-27,c0003774,108001792,0.05458,1
2019-11-26,c0002839,108001538,0.013294,1
2019-05-07,c0002878,108001041,0.024248,1
2019-07-15,c0002999,108000640,0.025465,1
2020-09-27,c0003117,108002451,0.057646,2
2020-09-27,c0000360,108002470,0.01357,2
2020-04-09,c0001793,108002013,0.009724,2
2019-05-12,c0000121,108001014,0.02499,1
2020-09-25,c0002420,108002440,0.031735,2
2019-06-29,c0003111,108000723,0.034059,2
2019-01-12,c0002395,108000433,0.018927,1
2019-05-26,c0002293,108000932,0.031808,2
2020-08-10,c0002421,108002303,0.049439,1
2019-03-07,c0001600,108000885,0.043574,2
2020-08-19,c0002287,108002545,0.035664,1
2020-10-18,c0001908,108002763,0.014349,1
2018-10-20,c0003564,108000170,0.044685,1
2020-09-25,c0001988,108002309,0.02694,1
2018-11-03,c0001062,108000212,0.012977,1
2019-08-29,c0003228,108001552,0.025085,1
2018-11-15,c0003987,108000192,0.021149,2
2018-10-22,c0001804,108000395,0.025835,2
2019-02-12,c0003096,108000261,0.009441,2
2020-04-01,c0000755,108001697,0.022314,1
2019-11-02,c0000976,108001571,0.008297,1
2020-10-17,c0001915,108002361,0.013708,1
2019-06-23,c0003518,108000916,0.032718,2
2020-03-28,c0000994,108001881,0.022938,1
2020-01-18,c0001593,108001521,0.009976,2
2018-11-19,c0003324,108000115,0.050259,1
2019-05-05,c0001594,108001025,0.008578,1
2020-03-04,c0000548,108001860,0.016036,1
2020-05-11,c0000438,108002041,0.013325,1
2020-10-21,c0003065,108002623,0.038084,2
2020-09-27,c0000826,108002279,0.055803,1
2019-03-21,c0002038,108000813,0.026342,1
2018-12-23,c0002328,108000092,0.03625,2
2020-03-04,c0003774,108002169,0.026288,1
2019-04-22,c0001549,108000712,0.051059,1
2019-06-20,c0000981,108000920,0.02989,1
2019-08-17,c0002164,108001423,0.024297,1
2019-12-16,c0002571,108001562,0.032745,2
2018-11-26,c0003957,108000109,0.013804,1
2019-09-30,c0000189,108001166,0.015151,2
2020-05-05,c0000543,108002021,0.015224,2
2020-04-27,c0001987,108002106,0.025356,2
2020-06-01,c0002834,108002141,0.015982,2
2019-12-23,c0002740,108001517,0.020191,2
2019-04-25,c0001292,108000595,0.026115,2
2019-07-14,c0000033,108000579,0.013709,1
2019-09-20,c0001289,108001223,0.014773,1
2019-11-29,c0002168,108001603,0.031886,2
2019-11-26,c0001305,108001085,0.030047,2
2020-06-05,c0002538,108002113,0.030439,1
2020-05-24,c0002190,108001894,0.030669,2
2020-09-22,c0000376,108002470,0.013628,1
2020-06-06,c0001849,108002083,0.028376,2
2019-03-07,c0000135,108000671,0.039699,1
2018-09-24,c0000854,108000347,0.04797,1
2020-10-13,c0002567,108002393,0.028567,1
2020-08-22,c0003028,108002582,0.03344,2
2020-10-19,c0002925,108002326,0.019672,2
2020-04-14,c0001031,108001767,0.027845,1
2020-03-30,c0001765,108001708,0.026111,2
2020-04-07,c0000782,108001881,0.02305,1
2020-03-24,c0002131,108001708,0.026121,2
2018-12-16,c0002854,108000164,0.015521,1
2020-09-05,c0002906,108002645,0.023963,2
2019-10-08,c0003597,108001213,0.030987,1
2018-11-16,c0001329,108000017,0.028503,2
2020-09-12,c0000997,108002498,0.037499,1
2019-10-05,c0002704,108001078,0.030608,1
2018-11-21,c0002617,108000460,0.014159,2
2020-04-09,c0003185,108001974,0.009272,1
2018-10-04,c0000240,108000237,0.027231,2
2020-03-31,c0002293,108002109,0.028489,2
2019-02-24,c0001984,108000908,0.018923,1
2020-02-28,c0001391,108001907,0.055781,2
2019-04-23,c0001892,108000640,0.025312,2
2018-12-19,c0002434,108000107,0.013625,1
2020-10-16,c0002612,108002440,0.031472,1
2019-03-21,c0002382,108000992,0.035343,2
