season,category,region,channel,color_family,color_hex,is_core,forecast_strength,week,units_received,units_sold_fullprice,units_sold_markdown,on_markdown,unit_price
SS24,Dresses,North America,Retail,Black,#1A1A1A,1,20,1,1842,239.0,0.0,0,89
SS24,Dresses,North America,Retail,Black,#1A1A1A,1,20,2,0,203.7,0.0,0,89
SS24,Dresses,North America,Retail,Black,#1A1A1A,1,20,3,0,173.6,0.0,0,89
SS24,Dresses,North America,Retail,Black,#1A1A1A,1,20,4,0,147.9,0.0,0,89
SS24,Dresses,North America,Retail,Black,#1A1A1A,1,20,5,0,126.0,0.0,0,89
SS24,Dresses,North America,Retail,Black,#1A1A1A,1,20,6,0,107.4,0.0,0,89
SS24,Dresses,North America,Retail,Black,#1A1A1A,1,20,7,0,91.5,0.0,0,89
SS24,Dresses,North America,Retail,Black,#1A1A1A,1,20,8,0,78.0,0.0,0,89
SS24,Dresses,North America,Retail,Black,#1A1A1A,1,20,9,0,66.5,0.0,0,89
SS24,Dresses,North America,Retail,Black,#1A1A1A,1,20,10,0,56.6,0.0,0,89
SS24,Dresses,North America,Retail,Black,#1A1A1A,1,20,11,0,48.3,0.0,0,89
SS24,Dresses,North America,Retail,Black,#1A1A1A,1,20,12,0,41.1,0.0,0,89
SS24,Dresses,North America,Retail,Black,#1A1A1A,1,20,13,0,0.0,208.1,1,89
SS24,Dresses,North America,Retail,Black,#1A1A1A,1,20,14,0,0.0,114.5,1,89
SS24,Dresses,North America,Online,Black,#1A1A1A,1,20,1,1525,179.5,0.0,0,89
SS24,Dresses,North America,Online,Black,#1A1A1A,1,20,2,0,152.9,0.0,0,89
SS24,Dresses,North America,Online,Black,#1A1A1A,1,20,3,0,130.3,0.0,0,89
SS24,Dresses,North America,Online,Black,#1A1A1A,1,20,4,0,111.1,0.0,0,89
SS24,Dresses,North America,Online,Black,#1A1A1A,1,20,5,0,94.6,0.0,0,89
SS24,Dresses,North America,Online,Black,#1A1A1A,1,20,6,0,80.6,0.0,0,89
SS24,Dresses,North America,Online,Black,#1A1A1A,1,20,7,0,68.7,0.0,0,89
SS24,Dresses,North America,Online,Black,#1A1A1A,1,20,8,0,58.6,0.0,0,89
SS24,Dresses,North America,Online,Black,#1A1A1A,1,20,9,0,49.9,0.0,0,89
SS24,Dresses,North America,Online,Black,#1A1A1A,1,20,10,0,42.5,0.0,0,89
SS24,Dresses,North America,Online,Black,#1A1A1A,1,20,11,0,36.2,0.0,0,89
SS24,Dresses,North America,Online,Black,#1A1A1A,1,20,12,0,30.9,0.0,0,89
SS24,Dresses,North America,Online,Black,#1A1A1A,1,20,13,0,0.0,220.1,1,89
SS24,Dresses,North America,Online,Black,#1A1A1A,1,20,14,0,0.0,121.1,1,89
SS24,Dresses,Europe,Retail,Black,#1A1A1A,1,20,1,1466,188.1,0.0,0,89
SS24,Dresses,Europe,Retail,Black,#1A1A1A,1,20,2,0,160.3,0.0,0,89
SS24,Dresses,Europe,Retail,Black,#1A1A1A,1,20,3,0,136.6,0.0,0,89
SS24,Dresses,Europe,Retail,Black,#1A1A1A,1,20,4,0,116.4,0.0,0,89
SS24,Dresses,Europe,Retail,Black,#1A1A1A,1,20,5,0,99.2,0.0,0,89
SS24,Dresses,Europe,Retail,Black,#1A1A1A,1,20,6,0,84.5,0.0,0,89
SS24,Dresses,Europe,Retail,Black,#1A1A1A,1,20,7,0,72.0,0.0,0,89
SS24,Dresses,Europe,Retail,Black,#1A1A1A,1,20,8,0,61.4,0.0,0,89
SS24,Dresses,Europe,Retail,Black,#1A1A1A,1,20,9,0,52.3,0.0,0,89
SS24,Dresses,Europe,Retail,Black,#1A1A1A,1,20,10,0,44.6,0.0,0,89
SS24,Dresses,Europe,Retail,Black,#1A1A1A,1,20,11,0,38.0,0.0,0,89
SS24,Dresses,Europe,Retail,Black,#1A1A1A,1,20,12,0,32.4,0.0,0,89
SS24,Dresses,Europe,Retail,Black,#1A1A1A,1,20,13,0,0.0,171.0,1,89
SS24,Dresses,Europe,Retail,Black,#1A1A1A,1,20,14,0,0.0,94.1,1,89
SS24,Dresses,Europe,Online,Black,#1A1A1A,1,20,1,1424,172.0,0.0,0,89
SS24,Dresses,Europe,Online,Black,#1A1A1A,1,20,2,0,146.6,0.0,0,89
SS24,Dresses,Europe,Online,Black,#1A1A1A,1,20,3,0,124.9,0.0,0,89
SS24,Dresses,Europe,Online,Black,#1A1A1A,1,20,4,0,106.4,0.0,0,89
SS24,Dresses,Europe,Online,Black,#1A1A1A,1,20,5,0,90.7,0.0,0,89
SS24,Dresses,Europe,Online,Black,#1A1A1A,1,20,6,0,77.3,0.0,0,89
SS24,Dresses,Europe,Online,Black,#1A1A1A,1,20,7,0,65.9,0.0,0,89
SS24,Dresses,Europe,Online,Black,#1A1A1A,1,20,8,0,56.1,0.0,0,89
SS24,Dresses,Europe,Online,Black,#1A1A1A,1,20,9,0,47.8,0.0,0,89
SS24,Dresses,Europe,Online,Black,#1A1A1A,1,20,10,0,40.8,0.0,0,89
SS24,Dresses,Europe,Online,Black,#1A1A1A,1,20,11,0,34.7,0.0,0,89
SS24,Dresses,Europe,Online,Black,#1A1A1A,1,20,12,0,29.6,0.0,0,89
SS24,Dresses,Europe,Online,Black,#1A1A1A,1,20,13,0,0.0,194.0,1,89
SS24,Dresses,Europe,Online,Black,#1A1A1A,1,20,14,0,0.0,106.7,1,89
SS24,Dresses,APAC,Retail,Black,#1A1A1A,1,20,1,1181,134.9,0.0,0,89
SS24,Dresses,APAC,Retail,Black,#1A1A1A,1,20,2,0,114.9,0.0,0,89
SS24,Dresses,APAC,Retail,Black,#1A1A1A,1,20,3,0,97.9,0.0,0,89
SS24,Dresses,APAC,Retail,Black,#1A1A1A,1,20,4,0,83.5,0.0,0,89
SS24,Dresses,APAC,Retail,Black,#1A1A1A,1,20,5,0,71.1,0.0,0,89
SS24,Dresses,APAC,Retail,Black,#1A1A1A,1,20,6,0,60.6,0.0,0,89
SS24,Dresses,APAC,Retail,Black,#1A1A1A,1,20,7,0,51.6,0.0,0,89
SS24,Dresses,APAC,Retail,Black,#1A1A1A,1,20,8,0,44.0,0.0,0,89
SS24,Dresses,APAC,Retail,Black,#1A1A1A,1,20,9,0,37.5,0.0,0,89
SS24,Dresses,APAC,Retail,Black,#1A1A1A,1,20,10,0,32.0,0.0,0,89
SS24,Dresses,APAC,Retail,Black,#1A1A1A,1,20,11,0,27.2,0.0,0,89
SS24,Dresses,APAC,Retail,Black,#1A1A1A,1,20,12,0,23.2,0.0,0,89
